"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
2400,"all-in-one",60,804.307607246757,834.132276575973,857.32900016302,870.21606882249,928.14611470201,957.11113764177,980.283155993578
2400,"all-in-one",120,1164.7557446117,1299.89419496475,1501.38654474685,1613.32673907024,1643.44175910715,1658.49926912561,1670.54527714037
2400,"all-in-one",180,1682.37503285994,1916.11787254089,2033.08119083315,2098.06081210663,2117.32739853452,2126.96069174847,2134.66732631962
2400,"all-in-one",240,1901.5415953553,2167.43988553589,2302.05227762113,2376.83693989071,2559.60141135109,2650.98364708129,2724.08943566544
2400,"all-in-one",300,2263.45367647475,2505.09625364108,2647.1279595677,2726.03446286026,3007.53120305851,3148.27957315763,3260.87826923694
2400,"all-in-one",360,2557.53174438926,2839.88207601728,3011.53276454211,3106.89425816701,3399.77909718008,3546.22151668662,3663.37545229184
2400,"all-in-one",420,2765.63769234113,3043.14170769986,3218.77619912349,3316.35091658106,3632.78193482879,3790.99744395266,3917.56985125176
2400,"all-in-one",480,2921.6229801564,3198.41161464232,3381.4850361244,3483.19249250334,3800.97539445651,3959.8668454331,4086.98000621436
2400,"all-in-one",540,3046.0541417172,3320.2570143448,3500.24595725837,3600.23981443258,3933.83458349228,4100.63196802214,4234.06987564602
2400,"all-in-one",600,3142.08657775839,3399.14733041829,3582.23310854253,3683.94742972267,4031.11984579272,4204.70605382775,4343.57502025577
2400,"benchmark",0,0,0,0,0,0,0,0
2400,"benchmark",60,950.497217272573,989.730531569779,1004.11290364512,1012.10311035364,1025.97634919061,1032.9129686091,1038.46226414388
2400,"benchmark",120,1538.13002401475,1565.91697644892,1601.74547918849,1621.6502029327,1737.79022772717,1795.86024012441,1842.31625004219
2400,"benchmark",180,2386.35080508826,2432.20887131692,2438.82794538568,2442.50520875722,2556.13116434192,2612.94414213427,2658.39452436815
2400,"benchmark",240,3063.81063005984,3073.47893646719,3078.91735882132,3152.876361044,3300.79436548936,3374.75336771204,3433.92056949018
2400,"benchmark",300,3475.52553471239,3508.77329550508,3546.75274402228,3567.85243764294,3773.20342181194,3875.87891389644,3958.01930756404
2400,"benchmark",360,3809.13107445386,3927.6931347288,3994.38429363346,4041.5898417572,4136.00093800467,4183.20648612841,4220.9709246274
2400,"benchmark",420,4290.67503362257,4488.37917718092,4535.58345478764,4561.80805345805,4646.56663469033,4688.94592530647,4722.84935779938
2400,"benchmark",480,4611.90710308904,4736.29072765264,4751.34943643475,4759.71538575815,4913.27391345715,4990.05317730666,5051.47658838626
2400,"benchmark",540,4794.89020102886,4863.45826431179,4960.32640463165,5014.14203814268,5153.90093468513,5223.78038295635,5279.68394157332
2400,"benchmark",600,4893.71412470773,4994.30638592104,5111.07512992631,5175.94665437368,5312.11834759114,5380.20419419987,5434.67287148685
2400,"by-dependencies",0,0,0,0,0,0,0,0
2400,"by-dependencies",60,687.837121237466,697.185738069023,705.391965629025,709.950980940137,768.373208420699,797.584322160979,820.953213153204
2400,"by-dependencies",120,1245.87345346078,1281.98446330577,1314.54317318461,1332.63134533952,1735.49115764272,1936.92106379431,2098.06498871559
2400,"by-dependencies",180,1611.91284018888,1648.86459412043,1697.19298794385,1724.04209562353,2089.79682389542,2272.67418803137,2418.97607934013
2400,"by-dependencies",240,2210.4377594772,2275.93973996765,2308.43141778761,2326.48234990982,2790.70093984469,3022.81023481213,3208.49767078607
2400,"by-dependencies",300,2932.94839663538,3075.50532280704,3180.21045169791,3238.3799677484,3654.89479249124,3863.15220486266,4029.7581347598
2400,"by-dependencies",360,3479.71749483436,3616.74930512618,3667.70553038344,3696.01454441525,4339.16939872618,4660.74682588164,4918.00876760601
2400,"by-dependencies",420,3902.36376242067,4118.6630555398,4164.84376166886,4190.49970951834,4901.93184600139,5257.64791424292,5542.22076883613
2400,"by-dependencies",480,4242.16846453317,4409.61678792245,4465.114574802,4495.94667862397,5274.08377256895,5663.15231954143,5974.40715711942
2400,"by-dependencies",540,4431.92552085439,4610.24983199078,4616.64053807049,4620.19093033699,5480.38600934953,5910.4835488558,6254.56158046082
2400,"by-dependencies",600,4541.35028499325,4712.3855546865,4785.33358602064,4825.86027009516,5684.15935190365,6113.3088928079,6456.6285255313
2400,"by-stack",0,0,0,0,0,0,0,0
2400,"by-stack",60,727.484867959804,733.908500161669,737.521793275218,739.976851271899,744.88696726526,747.342025261941,749.306071659286
2400,"by-stack",120,1318.46084152271,1324.90791705995,1329.53176128918,1332.10056363875,1334.21129496381,1335.26666062635,1336.11095315637
2400,"by-stack",180,1555.01774778573,1634.51983684572,1705.45566727313,1744.86446195503,1755.33411402253,1760.56894005628,1764.75680088328
2400,"by-stack",240,2189.47573432116,2316.84899623822,2419.04935525348,2475.82733248419,2482.69201262667,2486.12435269791,2488.8702247549
2400,"by-stack",300,2625.45218579966,2738.731955245,2866.47728572671,2937.44691377211,2956.24482557048,2965.64378146967,2973.16294618902
2400,"by-stack",360,3019.81307861728,3130.53666598717,3273.41285457297,3352.78851489842,3366.16127216672,3372.84765080087,3378.19675370819
