"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
300,"by-stack",420,466.776957226654,482.826147366372,487.754739834913,490.49284676188,491.189737343366,491.53818263411,491.816938866704
300,"by-stack",480,493.600583840964,510.50407623476,512.482966720254,513.582350323307,514.74555119299,515.327151627832,515.792431975706
300,"by-stack",540,511.378573466516,526.516509985088,526.980017361759,527.23752145991,530.37737120036,531.947296070586,533.203235966766
300,"by-stack",600,525.520743919142,539.948696033651,540.428023112418,540.694315933955,543.60259128754,545.056728964332,546.220039105766
2400,"all-in-one",0,0,0,0,0,0,0,0
2400,"all-in-one",60,940.019055027567,944.787872859499,949.031553493777,951.389153846154,967.503047017189,975.559993602707,982.00555087112
2400,"all-in-one",120,1330.53925372421,1347.20473997405,1370.93303770026,1384.11542532593,1426.64427729827,1447.90870328443,1464.92024407337
2400,"all-in-one",180,1915.97692915654,1933.81859497894,1951.42913912125,1961.21277475586,2029.66986823305,2063.89841497164,2091.28125236252
2400,"all-in-one",240,2362.00640121223,2381.93380016355,2406.32202754141,2419.87104275133,2537.25017946847,2595.93974782705,2642.89140251391
2400,"all-in-one",300,2804.09967106619,2863.73694569003,2919.82676277861,2950.98777227226,3079.92023742768,3144.3864700054,3195.95945606757
2400,"all-in-one",360,3244.32906997403,3327.93289153134,3445.34915427053,3510.58041134785,3660.03650665868,3734.7645543141,3794.54699243844
2400,"all-in-one",420,3653.26041958417,3782.8555882569,3945.349087678,4035.62325402305,4169.54317905614,4236.50314157268,4290.07111158591
2400,"all-in-one",480,3982.02491889507,4119.45242254272,4271.60803435747,4356.13892981011,4546.69949892169,4641.97978347749,4718.20401112212
2400,"all-in-one",540,4239.69527674778,4371.8671826619,4525.44072994127,4610.7593673187,4847.76201949404,4966.2633455817,5061.06440645184
2400,"all-in-one",600,4446.857630943,4577.963905933,4737.63888538336,4826.34720730023,5083.30825453315,5211.78877814961,5314.57319704278
2400,"benchmark",0,0,0,0,0,0,0,0
2400,"benchmark",60,1366.38410158323,1400.26766086354,1425.05381217278,1438.82389623347,1483.52873387285,1505.88115269255,1523.7630877483
2400,"benchmark",120,1998.45786050631,2051.1770171619,2117.93348556079,2155.02041244907,2290.05033227496,2357.5652921879,2411.57726011825
2400,"benchmark",180,2507.78349626789,2572.78073580598,2664.49816955691,2715.45229941854,2839.12298272271,2900.95832437479,2950.42659769645
2400,"benchmark",240,3112.33118406696,3194.07340875875,3308.74474441761,3372.45104200586,3460.53444261179,3504.57614291476,3539.80950315714
2400,"benchmark",300,3714.98168317924,3818.94459674265,3948.53832853112,4020.53484619138,4118.5425209308,4167.54635830051,4206.74942819628
2400,"benchmark",360,4340.30177434279,4460.94376910942,4610.61921367493,4693.77223843354,4814.79486010492,4875.30617094061,4923.71521960916
2400,"benchmark",420,4813.83352971675,4959.65179589018,5156.6751006587,5266.13249219677,5375.49443555945,5430.1754072408,5473.92018458587
2400,"benchmark",480,5145.4609663808,5337.84930672168,5566.52021782569,5693.55961288348,5818.74043534824,5881.33084658062,5931.40317556652
2400,"benchmark",540,5400.63202792868,5619.40125188766,5875.99308653315,6018.54410578064,6146.28701675238,6210.15847223825,6261.25563662695
